content,label,tokens
united thanks for moving my dad on to my my moms flight you helped make his birthday start with FriendlyFriday awesomeness 4 paws up,1,"['united', 'thanks', 'for', 'moving', 'my', 'dad', 'on', 'to', 'my', 'my', 'moms', 'flight', 'you', 'helped', 'make', 'his', 'birthday', 'start', 'with', 'FriendlyFriday', 'awesomeness', '4', 'paws', 'up']"
united terrific many thanks looking forward to being back on UA tomorrow had a great flight up to vancouver,1,"['united', 'terrific', 'many', 'thanks', 'looking', 'forward', 'to', 'being', 'back', 'on', 'UA', 'tomorrow', 'had', 'a', 'great', 'flight', 'up', 'to', 'vancouver']"
AmericanAir thanks flight 2160 today great crew,1,"['AmericanAir', 'thanks', 'flight', '2160', 'today', 'great', 'crew']"
JetBlue thank you fingers crossed,1,"['JetBlue', 'thank', 'you', 'fingers', 'crossed']"
JetBlue our fleets on fleek   lol wow,1,"['JetBlue', 'our', 'fleets', 'on', 'fleek', 'lol', 'wow']"
AmericanAir thanks both airlines said that it is located at AA detroit also was informed that it flew with AA which shouldnt matter,1,"['AmericanAir', 'thanks', 'both', 'airlines', 'said', 'that', 'it', 'is', 'located', 'at', 'AA', 'detroit', 'also', 'was', 'informed', 'that', 'it', 'flew', 'with', 'AA', 'which', 'shouldnt', 'matter']"
AmericanAir this is exactly why ill be flying AA from Dulles_Airport to dallas only airline i trust,1,"['AmericanAir', 'this', 'is', 'exactly', 'why', 'ill', 'be', 'flying', 'AA', 'from', 'Dulles_Airport', 'to', 'dallas', 'only', 'airline', 'i', 'trust']"
JetBlue thanks for letting us know hoping for no more delays,1,"['JetBlue', 'thanks', 'for', 'letting', 'us', 'know', 'hoping', 'for', 'no', 'more', 'delays']"
united what a really GREAT  FLATTERING story about you you should be very proud   via ParachuteGuy,1,"['united', 'what', 'a', 'really', 'GREAT', 'FLATTERING', 'story', 'about', 'you', 'you', 'should', 'be', 'very', 'proud', 'via', 'ParachuteGuy']"
USAirways i made it thanks for the help,1,"['USAirways', 'i', 'made', 'it', 'thanks', 'for', 'the', 'help']"
JetBlue thanks to the gent on the phone who fixed my BOSMCO flight and the fee waiver a320 now  flyfi  i forget her name,1,"['JetBlue', 'thanks', 'to', 'the', 'gent', 'on', 'the', 'phone', 'who', 'fixed', 'my', 'BOSMCO', 'flight', 'and', 'the', 'fee', 'waiver', 'a320', 'now', 'flyfi', 'i', 'forget', 'her', 'name']"
JetBlue well the last update was in the right direction at least ill keep my fingers crossed,1,"['JetBlue', 'well', 'the', 'last', 'update', 'was', 'in', 'the', 'right', 'direction', 'at', 'least', 'ill', 'keep', 'my', 'fingers', 'crossed']"
chair selfie JetBlue StacyCrossB6 PHLAirport SaharaSams everyone looks FLAWLESS  were so PROUD of our PHL crew BlueHeros,1,"['chair', 'selfie', 'JetBlue', 'StacyCrossB6', 'PHLAirport', 'SaharaSams', 'everyone', 'looks', 'FLAWLESS', 'were', 'so', 'PROUD', 'of', 'our', 'PHL', 'crew', 'BlueHeros']"
JetBlue you cant beat jetblue in spaces matter,1,"['JetBlue', 'you', 'cant', 'beat', 'jetblue', 'in', 'spaces', 'matter']"
united thanks yup im all set it happens SLC ground staff were prompt helpful and courteous,1,"['united', 'thanks', 'yup', 'im', 'all', 'set', 'it', 'happens', 'SLC', 'ground', 'staff', 'were', 'prompt', 'helpful', 'and', 'courteous']"
united no worries your customer service gets a bad wrap but just spoke w agent who saved me huge amounts of time  apologized for yesterday,1,"['united', 'no', 'worries', 'your', 'customer', 'service', 'gets', 'a', 'bad', 'wrap', 'but', 'just', 'spoke', 'w', 'agent', 'who', 'saved', 'me', 'huge', 'amounts', 'of', 'time', 'apologized', 'for', 'yesterday']"
united thank you for that am i able to claim any interim expenses or is the cost of the stuff up on me,1,"['united', 'thank', 'you', 'for', 'that', 'am', 'i', 'able', 'to', 'claim', 'any', 'interim', 'expenses', 'or', 'is', 'the', 'cost', 'of', 'the', 'stuff', 'up', 'on', 'me']"
united thank you i flew into newark from VailEagle,1,"['united', 'thank', 'you', 'i', 'flew', 'into', 'newark', 'from', 'VailEagle']"
